Question,Answer
검색한 자료에 대한 정보를 이메일로 받아보거나 저장할 수는 없나요?,"검색된 내용은 ""내보내기"" 기능을 통해 이메일 발송, 인쇄, 참고문헌 관리도구(RefWorks, EndNote)로의 반출 등을 할 수 있습니다. 단, ""국내외 학위논문"" 검색 결과는 바구니 담기 또는 내보내기 기능을 사용할 수 없습니다. (문의 : 창의지식협력팀 705-8992 libsys@sogang.ac.kr)"
도서관 홈페이지 로그인이 안 돼요.,"재학생의 경우 Saint 포탈의 로그인 ID(학번)/PW 정보와 동일합니다. 다만, 졸업생은 기존의 ID(학번)/PW를 사용하여 로그인이 안 됩니다. (문의: 창의지식협력팀 705-8992 libsys@sogang.ac.kr)"
도서관내 정수기가 설치된 장소는 어디인가요?,"1관 1층 열람실 좌석발권기 옆, 1~2관 연결통로, 2관 5층 엘리베이터 앞, 3관 2층 화장실 앞, 3관 4층 화장실 앞 총 5개의 정수기가 있습니다. * 문의 : 지식정보기획팀 (705-4778)"
지정자료 이용,지정자료는 수강과목에 필요한 자료를 해당과목 수강생들이 편리하게 열람할 수 있도록 교수가 일정한 기간 동안 지정한 자료입니다. 대출실에 별치되어 있으며 관내에서만 이용할 수 있습니다.
희망자료 신청은 어떻게 하나요?,"[도서관 이용 > 자료 이용 > 희망자료 신청 ] 에서 신청할 수 있으며, [My Library > 자료 이용 > 희망자료 신청내역] 에서 신청 결과를 조회할 수 있습니다. 이메일로 희망자료 도착메시지를 받은 후 대출을 원하시면 자료 예약을 하시기 바랍니다. (문의 : 지식정보개발팀, 국내서 705-8186 acqkor@sogang.ac.kr / 국외서 705-8187 acqfor@sogang.ac.kr)"
"검색결과, '정리중'으로 표시된 자료는 어떻게 이용할 수 있나요?","이용하고자하는 자료가 정리중인 경우, 자료를 예약하면 보다 빠르게 이용할 수 있습니다. 홈페이지에 로그인한 후 해당자료의 상세서지화면에서 ‘예약’을 눌러 자료를 예약할 수 있습니다. 예약한 도서의 정리가 완료되면 개인이메일과 서강톡톡 앱을 통하여 신청자에게 안내 메세지가 발송되며 해당 도서는 바로 대출대에서 수령하여 이용할 수 있습니다. 예약도서는 3일(주말 및 공휴일 제외)간 대출대에 보관하며, 기간 경과 후 예약은 취소되고 자료는 서가로 이동합니다. (문의 : 지식정보개발팀 705-8188 libcat@sogang.ac.kr)"
"필요한 저널이 있는데, 학교에서 구독하지 않고 있습니다. 연속간행물 구입 신청은 어떻게 하나요?","연속간행물은 단행본과는 달리 지속적인 입수가 필요하므로, 구입 신청에 따른 선정시 학과장 추천을 경유하여야 합니다. 도서관 홈페이지 > 도서관소개 > 알림/문의 > 각종 양식 다운로드 > '연속간행물 구독 신청서' 게시글 을 참고하여 신청하시기 바랍니다. 연속간행물 구독 갱신 시기(10월~11월)에 검토하겠습니다. (문의 : 창의지식협력팀 705-8953 libper@sogang.ac.kr)"
서강필독서 230선 안내,"서강대학교 교양/인성교육위원회는 새로운 21세기에 걸맞은 교양인성 교육목표를 구체적으로 실천하기 위해 '서강대학교 필독서 230선’을 선정하였습니다. 서강대학교 학생이면 누구나 읽기를 바라는 책을 ‘1차 필독서100선(문학 52, 인문사회 33, 과학기술 15)’으로 선정하고, 좀 더 심화해서 읽어야 할 책을 ‘2차 필독서 100선(문학 29, 인문사회 56, 과학기술 15)’으로 선정하였습니다. 마지막으로 ‘가톨릭 추천도서 30선(공통 15, 심화 15)’이 추가 되어 총 230선이 완성되었습니다. 서강대학교 필독서 230선은 「읽기와 쓰기」, 「계열별 글쓰기」, 「동서고전세미나」, 「서양철학고전읽기」, 「동양철학고전읽기」 등 읽기와 쓰기, 고전관련 강의 시간에 다룰 예정입니다. 필독서 선정분야는 크게 문학, 인문사회, 과학기술로 나눠져 있습니다. 1차 필독서에 문학이, 2차 필독서에 인문사회가 좀 더 강조된 이유는 무엇보다 먼저 고전 독서를 통해 삶의 의미에 관한 물음을 스스로 제기한 뒤, 인문사회와 과학 기술 분야 고전의 독서를 통해 좀 더 심화된 물음과 사고를 하기 위한 것 입니다. 서강대 필독서 230선은 로욜라도서관 1관 4층 생각하는 숲 서가에 따로 비치하였으며, 일반 도서들과 마찬가지로 자유로운 열람 및 대출이 가능합니다. 단, 대출기간은 1주일이오니 착오 없으시길 바랍니다. 해당 리스트는 [도서관 홈페이지 > 로욜라컬렉션 > 서강필독서] 에서도 확인하실 수 있습니다. 새로운 21세기에 걸맞은 교양인성을 갖춘 세계 속의 서강인으로 성장하시는데 조금이나마 도움이 되길 바랍니다"
내가 원하는 시간에 정보검색특강을 들을 수 있을까요?,"‘맞춤교육’은 이용자가 원하는 교육을 직접 신청하는 교육 프로그램입니다. 정규교육 시간에 여러 가지 사정으로 참석할 수 없거나, 특정 주제 분야를 중심으로 도서관 이용교육을 받고자 하는 경우에 이용하실 수 있습니다. ‘맞춤교육’은 최소 5명 이상을 대상으로 실시하며, 교육 희망일 2주 전까지 신청하시면 됩니다. 신청한 내용을 바탕으로 교육 담당자가 신청건에 대해 가능 여부를 확인한 후 결정됩니다. 해당 건이 '신청'→'확인중'을 거쳐 '신청승인'이 되면 해당 교육이 확정됩니다. [문의] 도서관 이용교육 : 정보서비스팀 - 전화번호 : Tel. 02-705-8195~97 - 이메일 : libref@sogang.ac.kr 전자자료 이용교육 : 창의지식협력팀 - 전화번호 : Tel. 02-705-8692 - 이메일 : libdigt@sogang.ac.kr"
졸업 학위논문 원문이용,"서강대학교 대학원 졸업 학위논문의 경우, 로욜라 도서관 홈페이지 내의 통합검색, 학위논문 검색, dCollection을 통하여 이용하실 수 있습니다. 간혹 특정 졸업 학위논문이 ""원문 서비스를 이용하실 수 없습니다"" 라는 메시지가 나오는 경우는, 저자가 관내보기(도서관 내부IP지정)를 설정하거나, 혹은 온라인 비공개를 요청하신 경우입니다. 이러한 경우, 관내보기 논문은 직접 도서관에 방문하신 후, 도서관 PC를 이용하여 원문을 이용하실 수 있습니다."
연속 간행물 검색결과에 나온 소장처에 최신호가 없어요.,"이용이 많은 최신 연속간행물은 전시서가(3관 2층)에 비치하고 있으며, 전시되지 않은 연속간행물과 제본된 연속간행물은 연속간행물 서가(3관 3층, 4층)에 비치되어 있습니다. 전시서가에 비치된 최신 연속간행물은 최근 1~12개월내 발간된 자료이며, 일정 기간이 지나면 해당 연속간행물 서가로 이전됩니다. (문의 : 창의지식협력팀 705-8953 libper@sogang.ac.kr)"
도서관에서 구독하는 신문은 어디로 가야 볼 수 있나요?,"중앙도서관에서 구독하는 신문은 3관 2층에 비치하고 있습니다. 최근 1주일 분량의 일간신문을 전면 비치하고 있으며, 주요 주간신문(약 3~6개월 분량) 또한 이곳에 보관됩니다. 도서관에서 구독하고 있는 종이 신문 목록은 다음과 같습니다. 가톨릭평화신문, 경향신문, 교수신문, 국민일보, 동아일보, 매일경제, 서울신문, 조선일보, 중앙일보, 한겨레신문, 한국경제, 한국일보, Int`l NewYork Times, Korea Joongang Daily, Korea Herald, Korea Times, (Le) Monde diplomatique, Die Zeit, (기증) 가톨릭신문 (문의 : 창의지식협력팀 705-8953 libper@sogang.ac.kr)"
DVD와 같은 멀티미디어자료는 어떻게 이용하나요?,"멀티미디어 자료는 다른 자료와 구분하기 위해 별치기호 AV를 부여하고 있으며, 매체의 종류에 따라 아래와 같이 별치기호가 구분됩니다. AV 시청각자료 AV-c CD(Compact Disc) 자료 AV-cr CD-ROM 자료 AV-d Diskette 자료 AV-dv DVD 자료 AV-f 컴퓨터파일 AV-l 레이저디스크 AV-t Cassette-Tape AV-v 비디오테이프 [멀티미디어 자료의 검색] 1. 특정 DVD 자료를 찾고자 할때 : 소장자료 검색에서 검색어를 입력하고 '자료유형' 에서 '멀티미디어'를 선택합니다. 검색한 결과리스트에서 청구기호를 정렬하여 AV-dv라는 별치기호를 갖는 자료를 찾아 이용하면 됩니다. 2. 도서관 소장 전체 DVD를 확인하고자 할 때 : 소장자료검색 - 전방일치 검색에서 검색항목을 청구기호로 선택한 후 AV-dv를 입력하면, 로욜라도서관이 소장하고 있는 DVD자료 전체를 확인할 수 있습니다. * 다른 유형의 멀티미디어 자료를 이용할 때도 DVD의 예를 참고하시면 되며, 전체 멀티미디어자료 리스트를 확인하는 방법은 아래와 같습니다. 1. 소장자료 - 전방일치 검색에서 검색항목을 청구기호로 선택한 후 AV를 입력한 후 검색 2. 자료검색 - Browse - 멀티미디어 검색에서 제목별 탭을 선택하면 나오는 가나다 리스트 이용 [멀티미디어 자료의 활용] 1관 4층 꿈꾸는 숲에 매체별 멀티미디어 플레이어가 준비되어 있습니다. 1관 3층 참고서비스데스크에서 헤드셋 대여 후 이용하시기 바랍니다. [문의] 정보서비스팀 - 전화번호 : Tel. 02-705-8195-97 - 이메일 : libref@sogang.ac.kr"
무인 반납함 이용,"1. 반납함 위치: 2관 출입구 앞 (ATM기 옆) 2. 이용 시간: 도서관 폐관 이후 익일 개관전까지 이용 가능 구분 이용시간 평일 22:00 ~ 익일 개관시 주말 및 공휴일(개관일) 17:00 ~ 익일 개관시 주말 및 공휴일(폐관일) 전일 3. 무인반납함 반납 불가 자료 : AV / SM 자료, 상호대차 자료 및 지정도서 4. 이용안내 - 무인반납함에 투입된 자료는 매일 아침 9시에 전일자 기준으로 일괄 반납처리 됩니다. - 자료는 반드시 투입구 안으로 넣어 주시기 바랍니다. 정확하게 투입되지 않아 자료가 분실되는 경우에는 도서관에서 책임지지 않습니다. [문의] 지식정보기획팀 대출실 (705-8192)"
딸림자료대출,"딸림자료는 도서에 딸린 CD, 별책 부록 등 검색시 청구기호가 SM으로 시작하는 자료를 뜻합니다. 딸림자료의 이용을 위해서는 단행본의 경우 1관2층 대출실, 연속간행물은 3관2층 창의지식협력팀 데스크, 참고도서의 경우에는 1관3층 정보서비스팀 데스크로 문의하시기 바랍니다."
AV자료대출,"AV자료는 오디오 CD, DVD, CD-ROM 등 멀티미디어 자료를 말하며 AV자료실에 별도로 보관중입니다. 해당 자료의 대출을 원하시면 원하시는 자료의 청구기호를 확인하여 1관2층 대출실로 문의하여 주시기 바랍니다."
